time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,MidLine,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1510687800,5.31975,5.35375,5.313,5.34675,5.31975,5.35375,5.313,5.34675,5.375175460206851,5.415865039862078,5.3344858805516235,5.456554619517306,5.293796300896396,5.497244199172533,5.253106721241169,0,0.012710931083208088,-0.0029487834678469937,0.01565971455105508,55.354463481212036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510691400,5.34525,5.36025,5.34225,5.35575,5.34525,5.36025,5.34225,5.35575,5.3746776343339855,5.415048468042553,5.334306800625418,5.45541930175112,5.293935966916851,5.495790135459687,5.2535651332082836,0,0.014441537591594056,0.0006652573000123976,0.013776280291581658,56.4999267938541,NaN,NaN,NaN,NaN,56.4999267938541,NaN,56.4999267938541,NaN
1510756200,5.29325,5.29975,5.19575,5.2265,5.29325,5.29975,5.19575,5.2265,5.365508017034282,5.417112602861673,5.3139034312068905,5.468717188689064,5.262298845379499,5.5203217745164554,5.210694259552108,0,0,-0.009050822891600715,0.009050822891600715,40.449435551953215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510759800,5.22525,5.2625,5.22525,5.238,5.22525,5.2625,5.22525,5.238,5.362922102784845,5.416961200176617,5.3088830053930725,5.47100029756839,5.2548439080013,5.525039394960162,5.200804810609528,0,0,-0.004813845863864685,0.004813845863864685,42.027463598637965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510763400,5.23875,5.25225,5.229,5.235,5.23875,5.25225,5.229,5.235,5.361189106815757,5.416791756936005,5.305586456695508,5.472394407056254,5.249983806575259,5.527997057176503,5.194381156455011,0,0,0,0,41.716901127797904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510767000,5.23425,5.24075,5.219,5.221,5.23425,5.24075,5.219,5.221,5.359714513345611,5.41675418966343,5.302674837027792,5.473793865981249,5.2456351607099725,5.530833542299068,5.188595484392153,0,-0.002263475540630999,-0.0015089836937539993,-0.0007544918468769998,40.22313312201212,40.22313312201212,NaN,40.22313312201212,NaN,NaN,NaN,NaN,NaN
1510770600,5.2225,5.26375,5.2225,5.2595,5.2225,5.26375,5.2225,5.2595,5.358449405791693,5.416375904344903,5.3005229072384825,5.474302402898114,5.242596408685272,5.532228901451324,5.184669910132062,0,-0.006431032955192428,-0.0035328634565846193,-0.002898169498607809,45.95437853594571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510774200,5.2585,5.2755,5.2525,5.2555,5.2585,5.2755,5.2525,5.2555,5.357008746049103,5.415693188449267,5.298324303648939,5.474377630849431,5.239639861248775,5.533062073249595,5.180955418848611,0,-0.008184389142757986,-0.0025580899298975153,-0.005626299212860471,45.46663378545682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510777800,5.2555,5.2585,5.2405,5.2525,5.2555,5.2585,5.2405,5.2525,5.355402998335765,5.41507201150361,5.29573398516792,5.474741024671455,5.236064972000075,5.5344100378393,5.17639595883223,0,-0.011060993969306487,-0.0025021886135541873,-0.0085588053557523,45.08018023904609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510842600,5.326,5.3545,5.31125,5.32725,5.326,5.3545,5.31125,5.32725,5.354510869995891,5.413257823553339,5.2957639164384425,5.472004777110787,5.237016962880994,5.530751730668236,5.178270009323546,0,0,0.006415127704021491,-0.006415127704021491,55.279778518058805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510846200,5.32775,5.3465,5.32725,5.33175,5.32775,5.3465,5.32725,5.33175,5.354249779052918,5.412641607884312,5.295857950221525,5.471033436715705,5.237466121390132,5.529425265547098,5.179074292558739,0,0,0.003686997989768829,-0.003686997989768829,55.81182070672976,NaN,NaN,NaN,NaN,55.81182070672976,NaN,55.81182070672976,NaN
1510849800,5.332,5.33525,5.32125,5.3245,5.332,5.33525,5.32125,5.3245,5.353965392626833,5.412117698287432,5.295813086966234,5.4702700039480305,5.237660781305635,5.528422309608629,5.1795084756450365,0,0,0,0,54.683051779496985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510853400,5.3245,5.32925,5.31225,5.3235,5.3245,5.32925,5.31225,5.3235,5.353554578491443,5.411449122620736,5.29566003436215,5.469343666750029,5.237765490232857,5.527238210879322,5.179870946103565,0,0,0,0,54.51926624804348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510857000,5.32425,5.33625,5.3145,5.3165,5.32425,5.33625,5.3145,5.3165,5.353291802433949,5.411011863792696,5.295571741075202,5.4687319251514435,5.237851679716455,5.526451986510191,5.1801316183577075,0,0,0,0,53.315454358399066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510860600,5.3145,5.31975,5.303,5.30875,5.3145,5.31975,5.303,5.30875,5.352694666857941,5.410229966770977,5.295159366944905,5.4677652666840135,5.237624067031868,5.52530056659705,5.180088767118832,0,0,0,0,51.947837500824555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510864200,5.3065,5.3065,5.28175,5.289,5.3065,5.3065,5.28175,5.289,5.351690959579499,5.409264250143783,5.294117669015215,5.466837540708068,5.2365443784509305,5.524410831272352,5.178971087886646,0,0,0,0,48.531320987224774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510929000,5.3455,5.38375,5.32025,5.3625,5.3455,5.38375,5.32025,5.3625,5.3519019477955485,5.407864773318286,5.295939122272811,5.463827598841023,5.239976296750074,5.5197904243637606,5.1840134712273365,0,0,0,0,59.267740551054686,NaN,NaN,NaN,NaN,59.267740551054686,NaN,59.267740551054686,NaN
1510932600,5.3595,5.36125,5.2985,5.31125,5.3595,5.36125,5.2985,5.31125,5.3511111911723965,5.406481125276347,5.295741257068446,5.461851059380297,5.240371322964496,5.517220993484248,5.185001388860545,0,0,0,0,51.24122309644327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510936200,5.312,5.31925,5.2975,5.31425,5.312,5.31925,5.2975,5.31425,5.350523513880974,5.405707431057947,5.295339596704001,5.46089134823492,5.240155679527028,5.516075265411893,5.184971762350055,0,0,0,0,51.6539679693666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510939800,5.3105,5.315,5.2865,5.28975,5.3105,5.315,5.2865,5.28975,5.349483899860997,5.404624621111774,5.2943431786102195,5.459765342362551,5.2392024573594425,5.514906063613328,5.184061736108665,0,0,0,0,48.074847530629995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510943400,5.28975,5.293,5.2735,5.289,5.28975,5.293,5.2735,5.289,5.348555030323701,5.403831316096843,5.293278744550559,5.459107601869985,5.238002458777417,5.5143838876431275,5.182726173004275,0,0,0,0,47.965280605001524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510947000,5.28975,5.2965,5.275,5.27575,5.28975,5.2965,5.275,5.27575,5.3474704778431095,5.402931434923701,5.292009520762518,5.458392392004293,5.236548563681926,5.513853349084885,5.181087606601334,0,0,0,0,45.97188643522376,45.97188643522376,NaN,45.97188643522376,NaN,NaN,NaN,NaN,NaN
1510950600,5.27525,5.28875,5.26925,5.28225,5.27525,5.28875,5.26925,5.28225,5.346305432317019,5.401982092345651,5.290628772288386,5.457658752374284,5.234952112259753,5.513335412402917,5.179275452231121,0,0,0,0,47.13262941781337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
